_id,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold,exec_sold,multigen_sold,studio_apartment_sold,one_room_rental,two_room_rental,three_room_rental,other_room_rental
2997,21,TEBAN GDNS RD,40,2012,Y,Y,N,N,N,N,JE,302,0,0,0,227,75,0,0,0,0,0,0,0
2998,21,TELOK BLANGAH CRES,14,1974,Y,N,N,Y,N,N,BM,152,0,0,148,0,4,0,0,0,0,0,0,0
2999,21,TOH YI DR,13,2015,Y,N,N,Y,N,N,BT,132,0,56,0,0,0,0,0,76,0,0,0,0
3000,21A,CHAI CHEE RD,5,2001,N,N,N,N,Y,N,BD,0,0,0,0,0,0,0,0,0,0,0,0,0
3001,21A,TEBAN GDNS RD,1,2013,N,N,N,N,N,Y,JE,0,0,0,0,0,0,0,0,0,0,0,0,0
3002,21A,TELOK BLANGAH CRES,1,2003,N,N,N,N,N,Y,BM,0,0,0,0,0,0,0,0,0,0,0,0,0
3003,210,ANG MO KIO AVE 3,10,1976,Y,N,N,Y,N,N,AMK,108,0,0,0,108,0,0,0,0,0,0,0,0
3004,210,BISHAN ST 23,13,1990,Y,N,N,N,N,N,BH,74,0,0,0,61,13,0,0,0,0,0,0,0
3005,210,BOON LAY PL,22,1977,Y,N,N,Y,N,N,JW,434,0,0,428,0,6,0,0,0,0,0,0,0
3006,210,BT BATOK ST 21,13,1984,Y,Y,N,Y,N,N,BB,216,0,0,0,216,0,0,0,0,0,0,0,0
3007,210,CHOA CHU KANG CTRL,11,1989,Y,Y,N,N,N,N,CCK,118,0,0,0,118,0,0,0,0,0,0,0,0
3008,210,CLEMENTI AVE 6,2,2022,N,N,N,N,N,N,CL,0,0,0,0,0,0,0,0,0,0,0,0,0
3009,210,COMPASSVALE LANE,6,2010,N,N,N,Y,Y,N,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
3010,210,HOUGANG ST 21,4,1983,Y,Y,N,N,N,N,HG,58,0,0,55,2,0,1,0,0,0,0,0,0
3011,210,JURONG EAST ST 21,10,1982,Y,N,N,Y,N,N,JE,213,0,0,174,36,2,1,0,0,0,0,0,0
3012,210,LOR 8 TOA PAYOH,1,2011,N,N,Y,N,N,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0
3013,210,MARSILING CRES,2,1982,N,Y,N,N,N,N,WL,0,0,0,0,0,0,0,0,0,0,0,0,0
3014,210,NEW UPP CHANGI RD,4,1979,Y,Y,N,N,N,N,BD,36,0,0,32,4,0,0,0,0,0,0,0,0
3015,210,PASIR RIS ST 21,12,1992,Y,N,N,N,N,N,PRC,68,0,0,0,0,0,68,0,0,0,0,0,0
3016,210,PETIR RD,21,1987,Y,N,N,N,N,N,BP,80,0,0,0,0,80,0,0,0,0,0,0,0
3017,210,PUNGGOL PL,6,2013,N,N,N,N,Y,N,PG,0,0,0,0,0,0,0,0,0,0,0,0,0
3018,210,SERANGOON CTRL,12,1985,Y,N,N,N,N,N,SGN,138,0,0,81,57,0,0,0,0,0,0,0,0
3019,210,TAMPINES ST 23,12,1984,Y,Y,N,N,N,N,TAP,110,0,0,0,16,94,0,0,0,0,0,0,0
3020,210,YISHUN ST 21,10,1984,Y,N,N,N,N,N,YS,126,0,0,72,54,0,0,0,0,0,0,0,0
3021,210A,BT BATOK ST 21,16,2011,Y,N,N,Y,N,N,BB,360,0,0,0,0,0,0,0,0,285,75,0,0
3022,210A,BOON LAY PL,1,2003,N,N,N,N,N,Y,JW,0,0,0,0,0,0,0,0,0,0,0,0,0
